"Data exported from:",http://scotssyntaxatlas.ac.uk/api/v1/csv/attributes
pid,code,pname,pdesc,atname,atdescription,aid,soundclips
42,j7,"AUXILIARIES - DOUBLE MODALS",,"<b>He'll can</b> do it next week.",,197
6,d11,"AUXILIARIES - ZERO AUXILIARIES",," I <b>would rather made</b> dinner myself.",,76
6,d12,"AUXILIARIES - ZERO AUXILIARIES",,"I <b>would only been</b> about two at the time.",,77
6,d14,"AUXILIARIES - ZERO AUXILIARIES",,"<b>There been</b> a lot of rain this week.",,78
6,d15,"AUXILIARIES - ZERO AUXILIARIES",,"He was <b>seen taken</b> away by the police.",,79
6,d25,"AUXILIARIES - ZERO AUXILIARIES",,"I think <b>there a man</b> outside.",,75
13,i3,"COMP - CONJUNCTIONS",,"They bought a house, <b>and</b> him no even in work at the time!",,113
13,o36,"COMP - CONJUNCTIONS",,"He was smaller <b>nor</b> I expected.",,155
13,p1,"COMP - CONJUNCTIONS",,"He's a nice guy <b>but</b>.",,160,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/p1-182.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/p1-201.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/p1-202.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/p1-203.mp3"
16,j21,"COMP - FOR TO INFINITIVES",,"I'll put the heater on <b>for to</b> dry your jacket.",,116,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/j21-187.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/j21-188.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/j21-189.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/j21-190.mp3"
16,j22,"COMP - FOR TO INFINITIVES",,"You're no allowed <b>for to</b> park on the main road.",,195
16,j23,"COMP - FOR TO INFINITIVES",,"I've got a new phone <b>for to</b> play with.",,196
59,t1,"COMP - OTHER",,"<b>See him</b> next door, I can't stand him.",,201
22,o30,"COMP - RELATIVE CLAUSES",," I met Jim Smith, <b>that</b> comes fae Inverness, the other day.",,153
22,o40,"COMP - RELATIVE CLAUSES",,"That's <b>the guy bumped</b> into me earlier.",,156
47,k1,"HAVE-RAISING - ADVERBS",,"He <b>had aie</b> a dram in him.",,198
47,k3,"HAVE-RAISING - ADVERBS",,"We <b>had just</b> on our jerseys as well.",,263
46,c10,"HAVE-RAISING - CONTRACTION",,"<b>I've a copy</b> of that at home.",,66
46,c11,"HAVE-RAISING - CONTRACTION",,"<b>I've the film</b> you're talking about at home.",,67
46,c12,"HAVE-RAISING - CONTRACTION",,"<b>I've that photo</b> on my wall now.",,68
46,c13,"HAVE-RAISING - CONTRACTION",,"<b>We've a copy</b> of that at home.",,181
45,c4,"HAVE-RAISING - NEGATION",,"I <b>haven't to</b> go back until September.",,60
45,c5,"HAVE-RAISING - NEGATION",,"I <b>haven't any</b> money on me.",,61,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/c5-96.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/c5-97.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/c5-98.mp3"
45,c6,"HAVE-RAISING - NEGATION",,"I <b>haven't that</b> one with me.",,62
45,c7,"HAVE-RAISING - NEGATION",,"We <b>hadn't a lot of rain</b> last week.",,63
45,c9,"HAVE-RAISING - NEGATION",,"I <b>haven't steak</b> that often.",,65
29,c1,"HAVE-RAISING - QUESTIONS",,"<b>Have you one</b> of these as well?",,57
29,c2,"HAVE-RAISING - QUESTIONS",,"<b>Have you any</b> money for the meter?",,58,"https://scotssyntaxatlas.ac.uk/feature-sound-clips/c2-99.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/c2-100.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/c2-101.mp3,https://scotssyntaxatlas.ac.uk/feature-sound-clips/c2-102.mp3"
29,c3,"HAVE-RAISING - QUESTIONS",,"<b>Have you that</b> charger with you?",,59
